Картинка из вопроса,caption_ru
https://storage-public.odin.study/37a54d41-aade-4da2-a13d-6ab7d3ef8035.PNG,Семья ест вместе на кухне.
https://storage-public.odin.study/8e72cc01-6efb-45ea-b2e7-7999291212da.PNG,"карикатура с людьми, играющими в парке"
https://storage-public.odin.study/c247267a-5a7f-46cc-89fe-8c5961573470.PNG,живопись людей и собак на улице
https://storage-public.odin.study/049deff0-285e-4ffe-b1b7-54aa01eb4b45.PNG,группа людей устраивает пикник
https://storage-public.odin.study/8a63ee0a-1bca-499f-b312-258604fd9543.PNG,"женщине и ребенку, играющим с краской"
https://storage-public.odin.study/6383f52e-5d09-41ae-ad2d-81179b549d10.PNG,"группа людей, стоящих вокруг железнодорожной станции"
https://storage-public.odin.study/86963d8a-6422-4f3c-a9a2-bf561991697b.PNG,"женщине и ребенку, играющим с краской"
https://storage-public.odin.study/e6a7b685-191b-4a3b-9a71-d36b8ee66306.PNG,"женщине и ребенку, играющим с краской"
https://storage-public.odin.study/ab7858aa-192b-4d9a-9541-d9402c8c2f33.PNG,"группа людей, идущих по улице"
https://storage-public.odin.study/1b2aa5d9-777d-4c43-b6a1-96efc7f7ad3d.PNG,семейное пикник у реки
https://storage-public.odin.study/6ec39dcd-9250-4e1c-a7dc-e3047f0d56fb.PNG,Фотография семьи на кухне
